Date,SiteName,LocationName,WeekDay,TotalCount,Recording_ID
2015-04-05,York,Parliament Street at M&S,Sunday,27250,930481
2015-04-05,York,Stonegate,Sunday,20549,226002
2015-03-30,York,Church Street,Monday,3672,250424
2015-03-30,York,Coney Street,Monday,24247,697079
2015-03-30,York,Micklegate,Monday,6190,320884
2015-03-30,York,Parliament Street at M&S,Monday,20000,221687
2015-03-30,York,Stonegate,Monday,16161,177746
2015-03-31,York,Church Street,Tuesday,3858,872773
2015-03-31,York,Coney Street,Tuesday,19211,NA
2015-03-31,York,Micklegate,Tuesday,6208,929302
2015-03-31,York,Parliament Street at M&S,Tuesday,20694,748133
2015-03-31,York,Stonegate,Tuesday,14426,941467
2015-04-06,York,Church Street,Monday,3526,952306
2015-04-06,York,Coney Street,Monday,30858,990437
2015-04-06,York,Micklegate,Monday,8113,697338
2015-04-06,York,Parliament Street at M&S,Monday,40175,904896
2015-04-06,York,Stonegate,Monday,23374,432064
2015-04-07,York,Church Street,Tuesday,4014,185125
2015-04-07,York,Coney Street,Tuesday,30366,407850
2015-04-07,York,Micklegate,Tuesday,7532,44839
2015-04-07,York,Parliament Street at M&S,Tuesday,28017,650517
2015-04-07,York,Stonegate,Tuesday,20679,455206
2015-04-08,York,Church Street,Wednesday,3804,953836
2015-04-08,York,Coney Street,Wednesday,31185,33340
2015-04-08,York,Micklegate,Wednesday,8248,160374
2015-04-08,York,Parliament Street at M&S,Wednesday,30267,88742
2015-04-08,York,Stonegate,Wednesday,19239,404790
2015-04-09,York,Church Street,Thursday,4480,708945
2015-04-09,York,Coney Street,Thursday,30802,136461
2015-04-09,York,Micklegate,Thursday,8465,932443
2015-04-09,York,Parliament Street at M&S,Thursday,33957,384640
2015-04-09,York,Stonegate,Thursday,20130,918014
2015-04-10,York,Church Street,Friday,4708,204673
2015-04-10,York,Coney Street,Friday,32491,659380
2015-04-10,York,Micklegate,Friday,8421,804416
2015-04-10,York,Parliament Street at M&S,Friday,35466,207574
2015-04-10,York,Stonegate,Friday,22719,753056
2015-04-11,York,Church Street,Saturday,4514,884786
2015-04-11,York,Coney Street,Saturday,33897,856831
2015-04-11,York,Micklegate,Saturday,10617,324818
2015-04-11,York,Parliament Street at M&S,Saturday,37268,733179
2015-04-11,York,Stonegate,Saturday,25775,14523
2015-04-12,York,Church Street,Sunday,2887,777372
2015-04-12,York,Coney Street,Sunday,16512,396752
2015-04-12,York,Micklegate,Sunday,5020,310218
2015-04-12,York,Parliament Street at M&S,Sunday,12160,244821
2015-04-12,York,Stonegate,Sunday,14363,898301
2015-04-13,York,Church Street,Monday,3549,548561
2015-04-13,York,Coney Street,Monday,21920,518232
2015-04-13,York,Micklegate,Monday,6401,NA
2015-04-13,York,Parliament Street at M&S,Monday,21375,974353
2015-04-13,York,Stonegate,Monday,14410,370036
2015-04-14,York,Church Street,Tuesday,3427,135442
